key,count,kind,status,example
air.arg_type_name,272801,operand_string,EMITTED,
air.arg_name,270285,operand_string,EMITTED,
air.location_index,234699,operand_string,EMITTED,"!{!""air.location_index"", i32 0, i32 1, !""air.arg_type_name"", !""float4"", !""air.arg_name"", !""p"", !""air.arg_unused""}"
air.arg_type_align_size,172136,operand_string,EMITTED,
air.arg_type_size,172133,operand_string,EMITTED,
air.buffer,171765,operand_string,EMITTED,"!{i32 0, !""air.buffer"", !""air.location_index"", i32 0, i32 1, !""air.read_write"", !""air.address_space"", i32 1, !""air.arg_type_size"", i32 4, !""air.arg_type_align_size"", i32 4, !""air.arg_type_name"", !""float"", !""air.arg_name"", !""out""}"
air.read_write,165893,operand_string,EMITTED,
air.address_space,136449,operand_string,EMITTED,
air.source_file_name,129322,named_md,EMITTED,
air.compile_options,129322,named_md,EMITTED,
air.compile.fast_math_enable,129322,operand_string,EMITTED,"!{!""air.compile.fast_math_enable""}"
air.compile.denorms_disable,129322,operand_string,EMITTED,"!{!""air.compile.denorms_disable""}"
air.language_version,129322,named_md,EMITTED,
air.version,129322,named_md,EMITTED,
air.kernel,125194,named_md,EMITTED,
air.compile.framebuffer_fetch_enable,117293,operand_string,EMITTED,"!{!""air.compile.framebuffer_fetch_enable""}"
air.max_read_write_textures,113575,operand_string,EMITTED,"!{i32 7, !""air.max_read_write_textures"", i32 8}"
air.max_textures,113575,operand_string,EMITTED,"!{i32 7, !""air.max_textures"", i32 128}"
air.max_device_buffers,113575,operand_string,EMITTED,"!{i32 7, !""air.max_device_buffers"", i32 31}"
air.max_samplers,113575,operand_string,EMITTED,"!{i32 7, !""air.max_samplers"", i32 16}"
air.max_constant_buffers,113575,operand_string,EMITTED,"!{i32 7, !""air.max_constant_buffers"", i32 31}"
air.max_threadgroup_buffers,113575,operand_string,EMITTED,"!{i32 7, !""air.max_threadgroup_buffers"", i32 31}"
air.texture,44163,operand_string,EMITTED,"!{i32 0, !""air.texture"", !""air.location_index"", i32 0, i32 1, !""air.sample"", !""air.arg_type_name"", !""texture2d<float, sample>"", !""air.arg_name"", !""tex""}"
air.sample,23535,operand_string,EMITTED,
air.read,23028,operand_string,EMITTED,
air.arg_unused,19419,operand_string,EMITTED,
air.sampler,15843,operand_string,EMITTED,"!{i32 1, !""air.sampler"", !""air.location_index"", i32 0, i32 1, !""air.arg_type_name"", !""sampler"", !""air.arg_name"", !""s""}"
air.compile.framebuffer_fetch_disable,12029,operand_string,EMITTED,"!{!""air.compile.framebuffer_fetch_disable""}"
air.thread_position_in_grid,10810,operand_string,EMITTED,"!{i32 1, !""air.thread_position_in_grid"", !""air.arg_type_name"", !""uint"", !""air.arg_name"", !""id""}"
air.fragment_input,6411,operand_string,EMITTED,"!{i32 2, !""air.fragment_input"", !""generated(4v_cpDv4_f)"", !""air.center"", !""air.perspective"", !""air.arg_type_name"", !""float4"", !""air.arg_name"", !""v_cp""}"
air.write,5652,operand_string,EMITTED,
air.vertex_output,5225,operand_string,EMITTED,"!{!""air.vertex_output"", !""generated(6v_flatDv4_f)"", !""air.arg_type_name"", !""float4"", !""air.arg_name"", !""v_flat""}"
air.function_constants,5057,named_md,EMITTED,
air.struct_type_info,4853,operand_string,EMITTED,
air.render_target,4182,operand_string,EMITTED,"!{!""air.render_target"", i32 0, i32 0, !""air.arg_type_name"", !""float4""}"
air.no_perspective,3346,operand_string,EMITTED,
air.thread_index_in_threadgroup,3092,operand_string,EMITTED,"!{i32 1, !""air.thread_index_in_threadgroup"", !""air.arg_type_name"", !""uint"", !""air.arg_name"", !""tid""}"
air.perspective,2660,operand_string,EMITTED,
air.center,2462,operand_string,EMITTED,
air.position,2234,operand_string,EMITTED,"!{!""air.position"", !""air.arg_type_name"", !""float4"", !""air.arg_name"", !""position""}"
air.vertex_input,2186,operand_string,EMITTED,"!{i32 0, !""air.vertex_input"", !""air.location_index"", i32 0, i32 1, !""air.arg_type_name"", !""float4"", !""air.arg_name"", !""position""}"
air.fragment,1994,named_md,EMITTED,
air.centroid,1772,operand_string,EMITTED,
air.depth_qualifier,1638,operand_string,EMITTED,
air.depth,1638,operand_string,EMITTED,"!{!""air.depth"", !""air.depth_qualifier"", !""air.any"", !""air.arg_type_name"", !""float"", !""air.arg_name"", !""d""}"
air.thread_index_in_simdgroup,1600,operand_string,EMITTED,"!{i32 5, !""air.thread_index_in_simdgroup"", !""air.arg_type_name"", !""uint"", !""air.arg_name"", !""lane"", !""air.arg_unused""}"
air.vertex,1545,named_md,EMITTED,
air.buffer_size,1482,operand_string,EMITTED,
air.flat,1092,operand_string,EMITTED,
air.indirect_argument,936,operand_string,EMITTED,"!{i32 0, i32 8, i32 0, !""float"", !""data"", !""air.indirect_argument"", !N, i32 8, i32 4, i32 0, !""uint"", !""count"", !""air.indirect_argument"", !N}"
air.point_size,760,operand_string,EMITTED,"!{!""air.point_size"", !""air.arg_type_name"", !""float"", !""air.arg_name"", !""v_ps""}"
air.sampler_states,548,named_md,EMITTED,
air.sampler_state,548,operand_string,EMITTED,"!{!""air.sampler_state"", [2 x i64] addrspace(2)* @__air_sampler_state}"
air.greater,546,operand_string,EMITTED,
air.any,546,operand_string,EMITTED,
air.less,546,operand_string,EMITTED,
air.visible,520,named_md,EMITTED,
air.visible_output,520,operand_string,EMITTED,"!{!""air.visible_output"", !""air.arg_type_name"", !""uint""}"
air.visible_input,520,operand_string,EMITTED,"!{i32 0, !""air.visible_input"", !""air.arg_type_name"", !""uint"", !""air.arg_name"", !""v""}"
air.visible_function_reference,352,operand_string,EMITTED_EMPTY,"!{!""air.visible_function_reference"", i32 (i32)* @ld_visible_fn.MTL_VISIBLE_FN_REF, !""ld_visible_fn""}"
air.visible_function_references,352,named_md,EMITTED,
air.indirect_buffer,312,operand_string,EMITTED,"!{i32 0, !""air.indirect_buffer"", !""air.buffer_size"", i32 16, !""air.location_index"", i32 0, i32 1, !""air.read"", !""air.address_space"", i32 2, !""air.struct_type_info"", !N, !""air.arg_type_size"", i32 16, !""air.arg_type_align_size"", i32 8, !""air.arg_type_name"", !""Args"", !""air.arg_name"", !""args""}"
air.render_target_array_index,280,operand_string,EMITTED,"!{!""air.render_target_array_index"", !""air.arg_type_name"", !""uint"", !""air.arg_name"", !""rta""}"
air.viewport_array_index,280,operand_string,EMITTED,"!{!""air.viewport_array_index"", !""air.arg_type_name"", !""uint"", !""air.arg_name"", !""vpa""}"
air.vertex_id,215,operand_string,EMITTED,"!{i32 0, !""air.vertex_id"", !""air.arg_type_name"", !""uint"", !""air.arg_name"", !""vid""}"
air.clip_distance,214,operand_string,EMITTED,"!{!""air.clip_distance"", !""air.clip_distance_array_size"", i32 2, !""air.arg_type_name"", !""float"", !""air.arg_name"", !""cd""}"
air.clip_distance_array_size,178,operand_string,EMITTED,
air.stage_in,176,operand_string,EMITTED,"!{i32 0, !""air.stage_in"", !""air.location_index"", i32 0, i32 1, !""air.arg_type_name"", !""float4"", !""air.arg_name"", !""p"", !""air.arg_unused""}"
air.indirect_constant,156,operand_string,EMITTED,"!{i32 1, !""air.indirect_constant"", !""air.location_index"", i32 1, i32 1, !""air.arg_type_name"", !""uint"", !""air.arg_name"", !""count""}"
air.instance_acceleration_structure,96,operand_string,EMITTED,"!{i32 0, !""air.instance_acceleration_structure"", !""air.location_index"", i32 0, i32 1, !""air.read"", !""air.arg_type_name"", !""acceleration_structure<instancing>"", !""air.arg_name"", !""accel""}"
air.object,57,named_md,EMITTED,
air.payload,56,operand_string,EMITTED,"!{i32 0, !""air.payload"", !""air.struct_type_info"", !N, !""air.arg_type_size"", i32 32, !""air.arg_type_align_size"", i32 16, !""air.arg_type_name"", !""Pay2"", !""air.arg_name"", !""p"", !""air.arg_unused""}"
air.threadgroup_position_in_grid,56,operand_string,EMITTED,"!{i32 1, !""air.threadgroup_position_in_grid"", !""air.arg_type_name"", !""uint"", !""air.arg_name"", !""tig"", !""air.arg_unused""}"
air.thread_position_in_threadgroup,4,operand_string,EMITTED,"!{i32 2, !""air.thread_position_in_threadgroup"", !""air.arg_type_name"", !""ushort2"", !""air.arg_name"", !""__lid"", !""air.arg_unused""}"
air.imageblock,3,operand_string,EMITTED,"!{i32 0, !""air.imageblock"", !""implicit"", !""air.struct_type_info"", !N, !""air.arg_type_align_size"", i32 16, !""air.arg_type_name"", !""imageblock<IB25C, layout_implicit>"", !""air.arg_name"", !""__ib""}"
air.patch_control_point,2,operand_string,EMITTED,
air.patch_id,2,operand_string,NOT_EMITTED_NEEDS_ATTR,"!{i32 1, !""air.patch_id"", !""air.arg_type_name"", !""ushort"", !""air.arg_name"", !""__pid""}"
air.patch,2,operand_string,EMITTED,"!{!""air.patch"", !""triangle"", !""air.patch_control_point"", i32 3}"
air.patch_control_point_input,2,operand_string,EMITTED_EMPTY,"!{i32 0, !""air.patch_control_point_input"", !N, !N, !""air.arg_unused""}"
air.patch_control_point_function,2,operand_string,EMITTED,"!{!""air.patch_control_point_function"", null}"
air.triangle,1,operand_string,EMITTED,
air.mesh_type_info,1,operand_string,EMITTED,"!{!""air.mesh_type_info"", !N, !N, i32 8, i32 4, !""air.triangle""}"
air.mesh,1,named_md,EMITTED,"!{i32 0, !""air.mesh"", !N, !""air.arg_type_name"", !""mesh<MeshV, MeshP, 8, 4, triangle>"", !""air.arg_name"", !""__m""}"
air.imageblock_data_size,1,operand_string,EMITTED,
air.vertex_value,1,operand_string,EMITTED,
air.primitive_id,1,operand_string,EMITTED,"!{!""air.primitive_id"", !""air.arg_type_name"", !""uint"", !""air.arg_name"", !""primid""}"
air.instance_id,1,operand_string,EMITTED,"!{i32 3, !""air.instance_id"", !""air.arg_type_name"", !""uint"", !""air.arg_name"", !""iid""}"
air.mesh_grid_properties,1,operand_string,EMITTED,"!{i32 0, !""air.mesh_grid_properties"", !""air.arg_type_name"", !""mesh_grid_properties"", !""air.arg_name"", !""__gp""}"
