builtin,arity,occurrences,all_arities,example
__metal_abort_intersection_query,2,1,2:1,"__metal_abort_intersection_query(_build_intersection_flags(Tags{}...), q)"
__metal_abs,1,48,1:48,"__metal_abs(x)"
__metal_absdiff,2,48,2:48,"__metal_absdiff(x, y)"
__metal_acos,2,30,2:30,"__metal_acos(x, __METAL_FAST_MATH__)"
__metal_acosh,2,30,2:30,"__metal_acosh(x, __METAL_FAST_MATH__)"
__metal_addsat,2,48,2:48,"__metal_addsat(x, y)"
__metal_all,1,6,1:6,"__metal_all(x)"
__metal_any,1,6,1:6,"__metal_any(x)"
__metal_asin,2,30,2:30,"__metal_asin(x, __METAL_FAST_MATH__)"
__metal_asinh,2,30,2:30,"__metal_asinh(x, __METAL_FAST_MATH__)"
__metal_atan,2,30,2:30,"__metal_atan(y_over_x, __METAL_FAST_MATH__)"
__metal_atan2,3,30,3:30,"__metal_atan2(y, x, __METAL_FAST_MATH__)"
__metal_atanh,2,30,2:30,"__metal_atanh(x, __METAL_FAST_MATH__)"
__metal_atomic_compare_exchange_weak_explicit,6,2,6:2,"__metal_atomic_compare_exchange_weak_explicit(&object->__s, &next_expected, decltype(object->__s)(desired), int(success), int(failure), __METAL_MEMORY_SCOPE_THR"
__metal_atomic_compare_exchange_weak_explicit_texture_1d_array_t,8,12,8:12,"__metal_atomic_compare_exchange_weak_explicit_texture_1d_array_t(derived.t, coord, array, expected, desired, __METAL_MEMORY_ORDER_RELAXED__, __METAL_MEMORY_ORDE"
__metal_atomic_compare_exchange_weak_explicit_texture_1d_t,7,12,7:12,"__metal_atomic_compare_exchange_weak_explicit_texture_1d_t(derived.t, coord, expected, desired, __METAL_MEMORY_ORDER_RELAXED__, __METAL_MEMORY_ORDER_RELAXED__, "
__metal_atomic_compare_exchange_weak_explicit_texture_2d_array_t,9,12,9:12,"__metal_atomic_compare_exchange_weak_explicit_texture_2d_array_t(derived.t, coord, array, ushort2(0), expected, desired, __METAL_MEMORY_ORDER_RELAXED__, __METAL"
