value,count
TypedefDecl,4419802
BuiltinType,4310086
ParmVarDecl,1459824
ImplicitCastExpr,740880
DeclRefExpr,609148
CXXConstructorDecl,594484
IntegerLiteral,514908
VarDecl,346578
CXXMethodDecl,306512
ImportDecl,263040
CXXRecordDecl,233486
BinaryOperator,207978
FunctionDecl,206020
CXXFunctionalCastExpr,191580
FieldDecl,182430
FunctionTemplateDecl,163056
CompoundStmt,151742
ArraySubscriptExpr,146480
MetalBufferIndexAttr,136656
RecordType,112210
PointerType,110058
TranslationUnitDecl,109734
MetalKernelAttr,107522
DeclStmt,103418
MetalVectorInitExpr,98838
NamespaceDecl,73812
MemberExpr,73810
UsingDirectiveDecl,73220
CallExpr,72826
FloatingLiteral,59042
RecoveryExpr,48626
CompoundAssignOperator,43806
CXXConstructExpr,36828
MetalTextureIndexAttr,36616
MetalAttributeIndexAttr,34200
ExtVectorElementExpr,32466
ReturnStmt,30068
TemplateTypeParmDecl,29578
CXXDependentScopeMemberExpr,28928
CXXMemberCallExpr,25108
UnresolvedLookupExpr,22674
CXXDefaultArgExpr,21226
MetalSamplerIndexAttr,17464
CXXCtorInitializer,15264
EnumConstantDecl,15096
MetalFunctionConstantAttr,15052
CXXStaticCastExpr,13506
CXXUnresolvedConstructExpr,13402
ClassTemplateDecl,12832
MetalColorAttr,12134
MetalPositionAttr,11512
CXXOperatorCallExpr,11302
ParenExpr,11194
UnaryExprOrTypeTraitExpr,11054
MetalThreadPosGridAttr,10990
MetalPointSizeAttr,8668
UnresolvedMemberExpr,8210
UnaryOperator,7554
NonTypeTemplateParmDecl,7210
MetalRenderTargetArrayIndexAttr,6336
MetalViewportArrayIndexAttr,5784
TemplateArgument,5634
ExprWithCleanups,5118
MaterializeTemporaryExpr,4838
MetalStageInAttr,3738
MetalFragmentAttr,3534
MetalThreadIndexGroupAttr,3332
ConditionalOperator,3194
BuiltinTemplateDecl,3178
TemplateTemplateParmDecl,3178
MetalThreadIndexSIMDGroupAttr,2858
MetalVertexAttr,2300
ElaboratedType,2256
CXXBoolLiteralExpr,2244
IfStmt,2108
ConstantExpr,2048
ClassTemplateSpecializationDecl,1990
TypedefType,1696
MetalThreadPosGroupAttr,1650
MetalIdAttr,1634
MetalAsTypeCastExpr,1452
CXXTemporaryObjectExpr,1364
MetalVertexIdAttr,1356
MetalLocalIndexAttr,1238
MetalSampleMaskAttr,1002
MetalThreadGroupPosGridAttr,972
InitListExpr,944
MetalDepthAttr,944
ExtVectorType,944
CXXDestructorDecl,938
MetalInstanceIdAttr,884
MetalFrontFacingAttr,884
MetalSampleIdAttr,884
MetalThreadsPerGroupAttr,884
MetalBaseVertexAttr,844
MetalBaseInstanceAttr,844
MetalThreadsPerGridAttr,766
MetalSIMDGroupIndexGroupAttr,720
OpaqueValueExpr,708
MetalUserDefinedAttr,708
AlignedAttr,708
MetalPrimitiveIdAttr,630
ConstantArrayType,590
MetalSIMDGroupsPerGroupAttr,572
MetalAmplificationIdAttr,548
LinkageSpecDecl,528
BuiltinAttr,528
VisibilityAttr,520
ArrayInitLoopExpr,472
BindingDecl,472
ForStmt,472
UsingShadowDecl,472
StaticAssertDecl,442
StringLiteral,442
MetalVisibleAttr,396
MetalPayloadAttr,384
DecompositionDecl,354
CXXNullPtrLiteralExpr,354
NoThrowAttr,344
MetalMeshAttr,308
MetalEarlyFragmentTestsAttr,268
NamespaceAliasDecl,238
ReturnsNonNullAttr,236
AllocSizeAttr,236
CXXFoldExpr,236
ArrayInitIndexExpr,236
CXXThisExpr,236
NullStmt,236
CaseStmt,236
MetalFlatAttr,236
MetalCenterPerspectiveAttr,236
MetalCenterNoPerspectiveAttr,236
MetalCentroidPerspectiveAttr,236
MetalCentroidNoPerspectiveAttr,236
MetalSamplePerspectiveAttr,236
MetalSampleNoPerspectiveAttr,236
UsingDecl,236
CStyleCastExpr,236
MetalObjectAttr,220
TypeAliasDecl,132
TemplateSpecializationType,132
MetalBarycentricCoordAttr,120
MetalIntersectionAttr,120
EnumDecl,118
ClassTemplatePartialSpecializationDecl,118
DependentSizedArrayType,118
TemplateTypeParmType,118
MetalPointCoordAttr,118
MetalThreadGroupsPerGridAttr,118
DeprecatedAttr,118
SwitchStmt,118
BreakStmt,118
DefaultStmt,118
DependentNameType,118
MetalClipDistanceAttr,118
WhileStmt,118
CXXConversionDecl,96
LambdaExpr,96
ParenType,88
FunctionProtoType,88
SubstNonTypeTemplateParmExpr,88
MetalHostNameAttr,68
ParenListExpr,52
