value,count
int,610892
float,503640
uint,441208
float4,268518
__NSConstantString_tag,219468
char *,219468
__metal_texture_1d_t,219468
__metal_texture_1d_array_t,219468
__metal_texture_2d_t,219468
__metal_texture_2d_array_t,219468
__metal_texture_3d_t,219468
__metal_texture_cube_t,219468
__metal_texture_cube_array_t,219468
__metal_texture_2d_ms_t,219468
__metal_texture_2d_ms_array_t,219468
__metal_texture_buffer_1d_t,219468
__metal_depth_2d_t,219468
__metal_depth_2d_array_t,219468
__metal_depth_cube_t,219468
__metal_depth_cube_array_t,219468
__metal_depth_2d_ms_t,219468
__metal_depth_2d_ms_array_t,219468
__metal_sampler_t,219468
__metal_threadgroup_event_t,219468
__metal_imageblock_t,219468
__metal_patch_control_point_t,219468
__metal_command_buffer_t,219468
__metal_render_pipeline_state_t,219468
__metal_compute_pipeline_state_t,219468
__metal_interpolant_t,219468
__metal_vertex_value_t,219468
__metal_visible_function_table_t,219468
__metal_intersection_function_table_t,219468
__metal_instance_acceleration_structure_t,219468
__metal_primitive_acceleration_structure_t,219468
__metal_mesh_t,219468
__metal_mesh_grid_properties_t,219468
__metal_intersection_query_t,219468
__metal_function_handle_t,219468
__metal_intersection_result_t,219468
__metal_depth_stencil_state_t,219468
__metal_tensor_t,219468
__metal_tensor_thread_t,219468
device float *,177334
unsigned int,145960
device uint *,145580
__int128,130132
unsigned __int128,130132
<dependent type>,129704
char,129378
float2,92832
device float,85338
device uint,69936
Uniforms &&,69476
metal::sampler,68044
float3,67322
device int *,64076
device Uniforms &&,61162
threadgroup Uniforms &&,61162
half,55608
threadgroup_imageblock Uniforms &&,47352
uint2,45058
ray_data Uniforms &&,40392
bool,37498
<bound member function type>,34462
T,34314
object_data Uniforms &&,32200
const constant Uniforms &,31338
uint4,30046
const Uniforms &,29334
device int,25224
uint3,23124
<overloaded function type>,22674
metal::memory_order,21384
VertexOut,21194
const device Uniforms &,21020
const threadgroup Uniforms &,21020
short,20942
device coherent(device) Uniforms &&,18880
half4,18870
uchar,18110
ushort,18110
uint (),17700
metal::uint,17480
device half *,16048
int2,15986
const threadgroup_imageblock Uniforms &,15496
IoVertexOut,14912
float (float),14514
device metal::atomic_uint *,14018
device float4 *,13548
const ray_data Uniforms &,13176
const metal::sampler,13088
"metal::vec<float, 4>",12980
"metal::vec<uint, 4>",12980
"texture2d<float, access::sample>",12744
void (const metal::sampler &) noexcept,12272
"vec<float, 4>",12142
void (float),11918
device bool *,11800
void () noexcept,11610
const constant int,11478
device uchar *,11328
device ushort *,11328
device char *,11328
device short *,11328
metal::float4 (metal::float4),11092
void (device uint *),10720
const object_data Uniforms &,10104
const constant bool,9838
metal::float4x4,9668
void (device int *),9440
metal::level,9056
T (T),8786
float __attribute__((ext_vector_type(4))),8732
unsigned long,8386
void (const Uniforms &),8314
void (const device Uniforms &) threadgroup,8314
void (const threadgroup Uniforms &) threadgroup,8314
void (const constant Uniforms &) threadgroup,8314
void (const Uniforms &) threadgroup,8314
void (const constant Uniforms &) const constant,8314
void (const Uniforms &) const constant,8314
void (const device Uniforms &),8314
void (const threadgroup Uniforms &),8314
void (const constant Uniforms &),8314
void (Uniforms &&),8314
void (device Uniforms &&) threadgroup,8314
void (threadgroup Uniforms &&) threadgroup,8314
void (Uniforms &&) threadgroup,8314
void (Uniforms &&) const constant,8314
void (device Uniforms &&),8314
void (threadgroup Uniforms &&),8314
Uniforms &(Uniforms &&),8314
device Uniforms &(device Uniforms &&) device,8314
device Uniforms &(threadgroup Uniforms &&) device,8314
device Uniforms &(Uniforms &&) device,8314
threadgroup Uniforms &(device Uniforms &&) threadgroup,8314
threadgroup Uniforms &(threadgroup Uniforms &&) threadgroup,8314
threadgroup Uniforms &(Uniforms &&) threadgroup,8314
Uniforms &(device Uniforms &&),8314
Uniforms &(threadgroup Uniforms &&),8314
metal::bias,8160
metal::float4,8024
int4,7962
half2,7372
void,7250
threadgroup int *,7132
VertexOut &&,7102
float (*)(float),7080
void () const constant,7050
auto,6992
device half,6812
device float4,6656
"texture2d<float, access::read>",6608
VertexIn,6542
metal::int2,6512
IoFragOutA,6136
void () threadgroup,6106
uint (*)(),5900
half3,5720
metal::mem_flags,5664
device float2 *,5664
device float3 *,5664
device half2 *,5664
device half3 *,5664
device half4 *,5664
const device coherent(device) Uniforms &,5664
unsigned int (unsigned int),5632
threadgroup int,5602
void (const threadgroup_imageblock Uniforms &) threadgroup,5552
void (const threadgroup_imageblock Uniforms &),5552
void (threadgroup_imageblock Uniforms &&) threadgroup,5552
void (threadgroup_imageblock Uniforms &&),5552
device Uniforms &(threadgroup_imageblock Uniforms &&) device,5552
threadgroup Uniforms &(threadgroup_imageblock Uniforms &&) threadgroup,5552
threadgroup_imageblock Uniforms &(device Uniforms &&) threadgroup_imageblock,5552
threadgroup_imageblock Uniforms &(threadgroup Uniforms &&) threadgroup_imageblock,5552
threadgroup_imageblock Uniforms &(threadgroup_imageblock Uniforms &&) threadgroup_imageblock,5552
threadgroup_imageblock Uniforms &(Uniforms &&) threadgroup_imageblock,5552
Uniforms &(threadgroup_imageblock Uniforms &&),5552
texture2d<float>,5546
device metal::atomic_int *,5546
metal::float4 (*)(metal::float4),5428
"float (float, float)",5264
int (int),5240
device int2 *,5192
device int3 *,5192
device int4 *,5192
device uint2 *,5192
device uint3 *,5192
device uint4 *,5192
int3,5130
device bool,4956
void (device float *),4956
bool4,4720
device uchar,4720
device ushort,4720
device char,4720
device short,4720
void (metal::mem_flags),4512
void (const ray_data Uniforms &) threadgroup,4392
void (const device Uniforms &) ray_data,4392
void (const threadgroup Uniforms &) ray_data,4392
void (const constant Uniforms &) ray_data,4392
void (const threadgroup_imageblock Uniforms &) ray_data,4392
void (const ray_data Uniforms &) ray_data,4392
