value,count
0,356248
1,126164
0.5,25252
2,20452
3,12836
4,2944
1.5,2478
5,2078
2.5,1770
42,1770
16,1534
7,1148
15,1040
6,1014
10,944
8,860
32,796
21,770
17,708
20,708
22,652
64,618
9,590
11,590
13,590
14,590
18,590
19,590
256,590
12,542
23,534
24,534
41,472
100,424
25,354
26,354
27,354
28,354
29,354
30,354
33,354
255,354
31,332
36,236
37,236
38,236
39,236
0.25,236
1069547520,236
0.600000024,236
0.400000006,236
0.00100000005,178
128,176
"\""int\""",118
50,118
1000,118
9.99999974E-5,118
true,118
"\""float must be 4 bytes\""",118
"\""uint must be 4 bytes\""",118
4294967295,118
1024,118
1023,118
63,118
512,118
"\""constexpr template probe\""",88
110,14
310,12
320,12
400,12
200,10
120,10
220,8
240,8
210,8
230,8
300,8
