value,count
air.atomic.global.add.u.i32,1126
air.fma.f32,1014
air.fast_fmin.f32,998
air.atomic.global.sub.u.i32,848
air.fast_fmax.f32,847
air.version,715
air.fast_fabs.f32,643
air..select,450
air.any.v3i1,427
air.is_null_visible_function_table,372
air.get_function_pointer_visible_function_table,371
air.any,280
air.all.v3i1,277
air.convert.f.f32.s.i32,267
air.dot.v3f32,249
air.mix.f32,234
air..clamp,234
air.fast_fabs,197
air.dot,189
air.fast_fmax,187
air.fast_fmin,187
air..fabs,180
air..fmax,180
air..fmax3,180
air..fmedian3,180
air..fmin,180
air..fmin3,180
air.fma,171
air..abs,144
air..absdiff,144
air..addsat,144
air..clz,144
air..ctz,144
air..extract_bits,144
air..hadd,144
air..insert_bits,144
air..madhi,144
air..madsat,144
air..max,144
air..max3,144
air..median3,144
air..min,144
air..min3,144
air..mulhi,144
air..popcount,144
air..reverse_bits,144
air..rhadd,144
air..rotate,144
air..subsat,144
air.arg_type_name,134
air.atomic.global.add.u,133
air..depth2d.sample.sample_depth_2d_t,120
air..depth2d.sample.sample_compare_depth_2d_t,120
air..depth2d.array.sample.sample_depth_2d_array_t,120
air..depth2d.array.sample.sample_compare_depth_2d_array_t,120
air..depthcube.sample.sample_depth_cube_t,120
air..depthcube.sample.sample_compare_depth_cube_t,120
air..depthcube.array.sample.sample_depth_cube_array_t,120
air..depthcube.array.sample.sample_compare_depth_cube_array_t,120
air..texture2d.sample.sample_texture_2d_t,120
air..texture2d.array.sample.sample_texture_2d_array_t,120
air..texture3d.sample.sample_texture_3d_t,120
air..texturecube.sample.sample_texture_cube_t,120
air..texturecube.array.sample.sample_texture_cube_array_t,120
air.convert.f.f32.s,112
air.atomic.global.sub.u,109
air.kernel,107
air.fast_floor,105
air.convert.s.i32.f,104
air.all.v4i1,96
air.all,91
air.fast_floor.f32,90
air..saturate,90
air..acos,90
air..acosh,90
air..asin,90
air..asinh,90
air..atan,90
air..atan2,90
air..atanh,90
air..ceil,90
air..cos,90
air..cosh,90
air..cospi,90
air..divide,90
air..exp,90
air..exp10,90
air..exp2,90
air..floor,90
air..fma,90
air..fmod,90
air..fract,90
air..frexp,90
air..ilogb,90
air..ldexp,90
air..log,90
air..log10,90
air..log2,90
air..nextafter,90
air..pow,90
air..powr,90
air..rint,90
air..round,90
air..rsqrt,90
air..sin,90
air..sincos,90
air..sinh,90
air..sinpi,90
air..sqrt,90
air..tan,90
air..tanh,90
air..tanpi,90
air..trunc,90
air.convert.s.i32.f.f32,87
air.fast_clamp,85
air..mix,54
air..sign,54
air.fast_clamp.f32,53
air.language_version,51
air.compile_options,48
air.atomic.global.or.u.i32,48
air..depth2d.sample.sample_depth_2d_t_grad,48
air..depth2d.sample.sample_compare_depth_2d_t_grad,48
air..depth2d.read.get_read_sampler,48
air..depth2d.array.sample.sample_depth_2d_array_t_grad,48
air..depth2d.array.sample.sample_compare_depth_2d_array_t_grad,48
air..depth2d.array.read.get_read_sampler,48
air..depth2d.ms.read.get_read_sampler,48
air..depth2d.ms.array.read.get_read_sampler,48
air..depthcube.sample.sample_depth_cube_t_grad,48
air..depthcube.sample.sample_compare_depth_cube_t_grad,48
air..depthcube.read.get_read_sampler,48
air..depthcube.array.sample.sample_depth_cube_array_t_grad,48
air..depthcube.array.sample.sample_compare_depth_cube_array_t_grad,48
air..depthcube.array.read.get_read_sampler,48
air..texture1d.read.get_read_sampler,48
air..texture1d.array.read.get_read_sampler,48
air..texture2d.sample.sample_texture_2d_t_grad,48
air..texture2d.read.get_read_sampler,48
air..texture2d.array.sample.sample_texture_2d_array_t_grad,48
air..texture2d.array.read.get_read_sampler,48
air..texture2d.ms.read.get_read_sampler,48
air..texture2d.ms.array.read.get_read_sampler,48
air..texture3d.sample.sample_texture_3d_t_grad,48
air..texture3d.read.get_read_sampler,48
air..texturecube.sample.sample_texture_cube_t_grad,48
air..texturecube.read.get_read_sampler,48
air..texturecube.array.sample.sample_texture_cube_array_t_grad,48
air..texturecube.array.read.get_read_sampler,48
air.arg_name,46
air.wg.barrier,45
air.dot.v2f32,45
air..dot,45
air.source_file_name,44
air.atomic.global.or.u,43
air.atomic.global.max.u.i32,39
air.allocate_intersection_query.instancing.triangle_data,37
air.fast_sqrt.f32,37
air..dfdx,36
air..dfdy,36
air..fwidth,36
air..mad24,36
air..mul24,36
air.max.s.i32,34
air...TENSOR.INLINE.ATTRS.slice_tensor,33
air.render.command.draw_indexed_patches_render_command,32
air..intersector.impl.get_null_intersection_function_table,32
air.fast_fmax.v3f32,31
air.fast_fmin.v3f32,31
air.fast_rsqrt.f32,30
air.clz,27
air.atomic.global.load.i32,25
air.get_null_intersection_function_table,25
air.floor.f16,25
air.intersection.result.get_buffer_intersection_function_table,24
air.intersection.result.set_buffer_intersection_function_table,24
air...tensor.accessor.load_tensor,24
air...tensor.accessor.store_tensor,24
air...tensor.base.get_data_pointer_tensor,24
air..depth2d.gather.gather_depth_2d_t,24
air..depth2d.gather.gather_compare_depth_2d_t,24
air..depth2d.array.gather.gather_depth_2d_array_t,24
air..depth2d.array.gather.gather_compare_depth_2d_array_t,24
air..depthcube.gather.gather_depth_cube_t,24
air..depthcube.gather.gather_compare_depth_cube_t,24
air..depthcube.array.gather.gather_depth_cube_array_t,24
air..depthcube.array.gather.gather_compare_depth_cube_array_t,24
air..texture1d.sample.sample_texture_1d_t,24
air..texture1d.write.write_texture_1d_t,24
air..texture1d.write.write_imageblock_slice_to_texture_1d_t,24
air..texture1d.atomic.load.atomic_load_explicit_texture_1d_t,24
air..texture1d.atomic.store.atomic_store_explicit_texture_1d_t,24
air..texture1d.atomic.compare.exchange.atomic_compare_exchange_weak_explicit_texture_1d_t,24
air..texture1d.atomic.exchange.atomic_exchange_explicit_texture_1d_t,24
air..texture1d.atomic.fetch.and.atomic_fetch_and_explicit_texture_1d_t,24
air..texture1d.atomic.fetch.and.atomic_fetch_max_explicit_texture_1d_t,24
air..texture1d.atomic.fetch.and.atomic_fetch_min_explicit_texture_1d_t,24
air..texture1d.atomic.fetch.and.atomic_fetch_or_explicit_texture_1d_t,24
air..texture1d.atomic.fetch.and.atomic_fetch_xor_explicit_texture_1d_t,24
air..texture1d.atomic.fetch.and.arith.atomic_fetch_add_explicit_texture_1d_t,24
air..texture1d.atomic.fetch.and.arith.atomic_fetch_sub_explicit_texture_1d_t,24
air..texture1d.atomic.modify.atomic_max_explicit_texture_1d_t,24
air..texture1d.atomic.modify.atomic_min_explicit_texture_1d_t,24
air..texture1d.array.sample.sample_texture_1d_array_t,24
air..texture1d.array.write.write_texture_1d_array_t,24
air..texture1d.array.write.write_imageblock_slice_to_texture_1d_array_t,24
air..texture1d.array.atomic.load.atomic_load_explicit_texture_1d_array_t,24
air..texture1d.array.atomic.store.atomic_store_explicit_texture_1d_array_t,24
air..texture1d.array.atomic.compare.exchange.atomic_compare_exchange_weak_explicit_texture_1d_array_t,24
air..texture1d.array.atomic.exchange.atomic_exchange_explicit_texture_1d_array_t,24
air..texture1d.array.atomic.fetch.and.atomic_fetch_and_explicit_texture_1d_array_t,24
air..texture1d.array.atomic.fetch.and.atomic_fetch_max_explicit_texture_1d_array_t,24
air..texture1d.array.atomic.fetch.and.atomic_fetch_min_explicit_texture_1d_array_t,24
air..texture1d.array.atomic.fetch.and.atomic_fetch_or_explicit_texture_1d_array_t,24
air..texture1d.array.atomic.fetch.and.atomic_fetch_xor_explicit_texture_1d_array_t,24
air..texture1d.array.atomic.fetch.and.arith.atomic_fetch_add_explicit_texture_1d_array_t,24
air..texture1d.array.atomic.fetch.and.arith.atomic_fetch_sub_explicit_texture_1d_array_t,24
air..texture1d.array.atomic.modify.atomic_max_explicit_texture_1d_array_t,24
air..texture1d.array.atomic.modify.atomic_min_explicit_texture_1d_array_t,24
air..texture2d.write.write_texture_2d_t,24
air..texture2d.write.write_imageblock_slice_to_texture_2d_t,24
air..texture2d.gather.gather_texture_2d_t,24
air..texture2d.atomic.load.atomic_load_explicit_texture_2d_t,24
air..texture2d.atomic.store.atomic_store_explicit_texture_2d_t,24
air..texture2d.atomic.compare.exchange.atomic_compare_exchange_weak_explicit_texture_2d_t,24
air..texture2d.atomic.exchange.atomic_exchange_explicit_texture_2d_t,24
air..texture2d.atomic.fetch.and.atomic_fetch_and_explicit_texture_2d_t,24
air..texture2d.atomic.fetch.and.atomic_fetch_max_explicit_texture_2d_t,24
air..texture2d.atomic.fetch.and.atomic_fetch_min_explicit_texture_2d_t,24
air..texture2d.atomic.fetch.and.atomic_fetch_or_explicit_texture_2d_t,24
air..texture2d.atomic.fetch.and.atomic_fetch_xor_explicit_texture_2d_t,24
air..texture2d.atomic.fetch.and.arith.atomic_fetch_add_explicit_texture_2d_t,24
air..texture2d.atomic.fetch.and.arith.atomic_fetch_sub_explicit_texture_2d_t,24
air..texture2d.atomic.modify.atomic_max_explicit_texture_2d_t,24
air..texture2d.atomic.modify.atomic_min_explicit_texture_2d_t,24
air..texture2d.array.write.write_texture_2d_array_t,24
air..texture2d.array.write.write_imageblock_slice_to_texture_2d_array_t,24
air..texture2d.array.gather.gather_texture_2d_array_t,24
air..texture2d.array.atomic.load.atomic_load_explicit_texture_2d_array_t,24
air..texture2d.array.atomic.store.atomic_store_explicit_texture_2d_array_t,24
air..texture2d.array.atomic.compare.exchange.atomic_compare_exchange_weak_explicit_texture_2d_array_t,24
air..texture2d.array.atomic.exchange.atomic_exchange_explicit_texture_2d_array_t,24
air..texture2d.array.atomic.fetch.and.atomic_fetch_and_explicit_texture_2d_array_t,24
air..texture2d.array.atomic.fetch.and.atomic_fetch_max_explicit_texture_2d_array_t,24
air..texture2d.array.atomic.fetch.and.atomic_fetch_min_explicit_texture_2d_array_t,24
air..texture2d.array.atomic.fetch.and.atomic_fetch_or_explicit_texture_2d_array_t,24
air..texture2d.array.atomic.fetch.and.atomic_fetch_xor_explicit_texture_2d_array_t,24
air..texture2d.array.atomic.fetch.and.arith.atomic_fetch_add_explicit_texture_2d_array_t,24
air..texture2d.array.atomic.fetch.and.arith.atomic_fetch_sub_explicit_texture_2d_array_t,24
air..texture2d.array.atomic.modify.atomic_max_explicit_texture_2d_array_t,24
air..texture2d.array.atomic.modify.atomic_min_explicit_texture_2d_array_t,24
air..texture3d.write.write_texture_3d_t,24
air..texture3d.write.write_imageblock_slice_to_texture_3d_t,24
air..texture3d.atomic.load.atomic_load_explicit_texture_3d_t,24
air..texture3d.atomic.store.atomic_store_explicit_texture_3d_t,24
air..texture3d.atomic.compare.exchange.atomic_compare_exchange_weak_explicit_texture_3d_t,24
air..texture3d.atomic.exchange.atomic_exchange_explicit_texture_3d_t,24
air..texture3d.atomic.fetch.and.atomic_fetch_and_explicit_texture_3d_t,24
air..texture3d.atomic.fetch.and.atomic_fetch_max_explicit_texture_3d_t,24
air..texture3d.atomic.fetch.and.atomic_fetch_min_explicit_texture_3d_t,24
air..texture3d.atomic.fetch.and.atomic_fetch_or_explicit_texture_3d_t,24
air..texture3d.atomic.fetch.and.atomic_fetch_xor_explicit_texture_3d_t,24
air..texture3d.atomic.fetch.and.arith.atomic_fetch_add_explicit_texture_3d_t,24
air..texture3d.atomic.fetch.and.arith.atomic_fetch_sub_explicit_texture_3d_t,24
air..texture3d.atomic.modify.atomic_max_explicit_texture_3d_t,24
air..texture3d.atomic.modify.atomic_min_explicit_texture_3d_t,24
air..texture.buffer.read.get_read_sampler,24
air..texture.buffer.write.write_texture_buffer_1d_t,24
air..texture.buffer.atomic.load.atomic_load_explicit_texture_buffer_1d_t,24
air..texture.buffer.atomic.store.atomic_store_explicit_texture_buffer_1d_t,24
air..texture.buffer.atomic.compare.exchange.atomic_compare_exchange_weak_explicit_texture_buffer_1d_t,24
air..texture.buffer.atomic.exchange.atomic_exchange_explicit_texture_buffer_1d_t,24
air..texture.buffer.atomic.fetch.and.atomic_fetch_and_explicit_texture_buffer_1d_t,24
air..texture.buffer.atomic.fetch.and.atomic_fetch_max_explicit_texture_buffer_1d_t,24
air..texture.buffer.atomic.fetch.and.atomic_fetch_min_explicit_texture_buffer_1d_t,24
air..texture.buffer.atomic.fetch.and.atomic_fetch_or_explicit_texture_buffer_1d_t,24
air..texture.buffer.atomic.fetch.and.atomic_fetch_xor_explicit_texture_buffer_1d_t,24
air..texture.buffer.atomic.fetch.and.arith.atomic_fetch_add_explicit_texture_buffer_1d_t,24
air..texture.buffer.atomic.fetch.and.arith.atomic_fetch_sub_explicit_texture_buffer_1d_t,24
air..texture.buffer.atomic.modify.atomic_max_explicit_texture_buffer_1d_t,24
air..texture.buffer.atomic.modify.atomic_min_explicit_texture_buffer_1d_t,24
air..texturecube.write.write_texture_cube_t,24
air..texturecube.write.write_imageblock_slice_to_texture_cube_t,24
air..texturecube.gather.gather_texture_cube_t,24
air..texturecube.atomic.load.atomic_load_explicit_texture_cube_t,24
air..texturecube.atomic.store.atomic_store_explicit_texture_cube_t,24
air..texturecube.atomic.compare.exchange.atomic_compare_exchange_weak_explicit_texture_cube_t,24
air..texturecube.atomic.exchange.atomic_exchange_explicit_texture_cube_t,24
air..texturecube.atomic.fetch.and.atomic_fetch_and_explicit_texture_cube_t,24
air..texturecube.atomic.fetch.and.atomic_fetch_max_explicit_texture_cube_t,24
air..texturecube.atomic.fetch.and.atomic_fetch_min_explicit_texture_cube_t,24
air..texturecube.atomic.fetch.and.atomic_fetch_or_explicit_texture_cube_t,24
air..texturecube.atomic.fetch.and.atomic_fetch_xor_explicit_texture_cube_t,24
air..texturecube.atomic.fetch.and.arith.atomic_fetch_add_explicit_texture_cube_t,24
air..texturecube.atomic.fetch.and.arith.atomic_fetch_sub_explicit_texture_cube_t,24
air..texturecube.atomic.modify.atomic_max_explicit_texture_cube_t,24
air..texturecube.atomic.modify.atomic_min_explicit_texture_cube_t,24
air..texturecube.array.write.write_texture_cube_array_t,24
air..texturecube.array.write.write_imageblock_slice_to_texture_cube_array_t,24
air..texturecube.array.gather.gather_texture_cube_array_t,24
air..texturecube.array.atomic.load.atomic_load_explicit_texture_cube_array_t,24
air..texturecube.array.atomic.store.atomic_store_explicit_texture_cube_array_t,24
air..texturecube.array.atomic.compare.exchange.atomic_compare_exchange_weak_explicit_texture_cube_array_t,24
air..texturecube.array.atomic.exchange.atomic_exchange_explicit_texture_cube_array_t,24
air..texturecube.array.atomic.fetch.and.atomic_fetch_and_explicit_texture_cube_array_t,24
air..texturecube.array.atomic.fetch.and.atomic_fetch_max_explicit_texture_cube_array_t,24
air..texturecube.array.atomic.fetch.and.atomic_fetch_min_explicit_texture_cube_array_t,24
air..texturecube.array.atomic.fetch.and.atomic_fetch_or_explicit_texture_cube_array_t,24
air..texturecube.array.atomic.fetch.and.atomic_fetch_xor_explicit_texture_cube_array_t,24
