value,count
__HAVE_NATIVE_WIDE_VECTORS__,3102
__HAVE_INDIRECT_ARGUMENT_BUFFER__,2352
__HAVE_TEXTURE_RELAXED_ORDER_ATOMIC__,1893
__HAVE_SPARSE_TEXTURES__,1676
__HAVE_COHERENT__,1426
__HAVE_RAYTRACING__,1313
__HAVE_NATIVE_DOUBLE__,1208
__HAVE_MESH__,980
__HAVE_MIN_LOD_CLAMP__,954
__HAVE_INTEGER_LONG_FUNCTIONS__,835
__HAVE_TEXTURE_CUBE_ARRAY__,718
__HAVE_16B_COORDS__,601
__HAVE_DEPTH_CUBE_ARRAY__,520
__HAVE_INTEGER_BIT_EDIT_FUNCTIONS__,436
__HAVE_TEXTURE_BUFFER__,412
__HAVE_IMAGEBLOCKS__,360
__HAVE_TEXTURE_CUBE_ARRAY_RELAXED_ORDER_ATOMIC__,316
__HAVE_TEXTURE_CUBE_RELAXED_ORDER_ATOMIC__,316
__HAVE_TRIG_PI__,274
__HAVE_CALCULATE_LOD__,244
__HAVE_MEDIAN3__,241
__HAVE_MIN3__,241
__HAVE_MAX3__,241
__HAVE_RAYTRACING_INTERSECTION_FUNCTION_BUFFER__,192
__HAVE_TENSOR__,124
__HAVE_SAMPLE_COMPARE_BIAS_OVERLOAD__,121
__HAVE_DEPTH_2D_MS_ARRAY__,112
__HAVE_TEXTURE_2D_MS_ARRAY__,112
__HAVE_RENDER_COMMANDS__,110
__HAVE_TEXTURE_READWRITE__,97
__HAVE_FMA__,94
__HAVE_FMEDIAN3__,94
__HAVE_FMIN3__,94
__HAVE_DIVIDE__,94
__HAVE_FMAX3__,94
__HAVE_NEXTAFTER__,94
__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__,83
__HAVE_SPARSE_SAMPLE_COMPARE_BIAS_OVERLOAD__,82
__HAVE_NULL_TEXTURE__,81
__HAVE_SAMPLE_COMPARE_GRADIENTCUBE_OVERLOAD__,79
__HAVE_BFLOAT__,76
__HAVE_SIMDGROUP__,66
__HAVE_QUADGROUP__,62
__HAVE_RAYTRACING_DIRECT_ACCESS__,62
__HAVE_SAMPLE_COMPARE_GRADIENT2D_OVERLOAD__,55
__HAVE_SPARSE_SAMPLE_COMPARE_GRADIENT2D_OVERLOAD__,55
__HAVE_TEXTURE_CUBE_WRITE__,52
__HAVE_TEXTURE_CUBE_READ__,52
__HAVE_DEPTH_CUBE_READ__,52
__HAVE_RENDER_DRAW_PATCHES_TESSELLATION_FACTOR_SCALE__,52
__HAVE_MAD24__,40
__HAVE_MUL24__,40
__HAVE_RAYTRACING_TABLE_GET_BUFFERS__,40
__HAVE_RAYTRACING_TABLE_SET_BUFFERS__,40
__HAVE_SELECT_FAST_PRECISE_FUNCTIONS__,40
__HAVE_ARRAY__,37
__HAVE_DEFAULT_CONSTRUCTABLE_TEXTURE__,35
__HAVE_COMPUTE_COMMANDS__,34
__HAVE_SPARSE_SAMPLE_COMPARE_GRADIENTCUBE_OVERLOAD__,28
__HAVE_QUADGROUP_REDUCTION__,28
__HAVE_SIMDGROUP_REDUCTION__,28
__HAVE_SIMDGROUP_MATRIX__,27
__HAVE_VISIBLE_FUNCTION_TABLE__,25
__HAVE_RAYTRACING_MOTION__,24
__HAVE_RAYTRACING_MULTI_LEVEL_INSTANCING__,24
__HAVE_RENDER_COMMAND_MESH__,22
__HAVE_MATRIX_SCALAR_DIVISION__,20
__HAVE_INTERPOLATION_FUNCTIONS__,20
__HAVE_FUNCTION_HANDLES__,20
__HAVE_TEXTURE_ULONG_COLOR_CHANNEL__,19
__HAVE_SIMDGROUP_BALLOT__,16
__HAVE_LOGGING__,16
__HAVE_PACK_UNPACK_RGB10A2_SNORM_FUNCTIONS__,16
__HAVE_RAYTRACING_CURVES__,14
__HAVE_QUADGROUP_BALLOT__,12
__HAVE_QUADGROUP_SHUFFLE_AND_FILL__,12
__HAVE_SIMDGROUP_SHUFFLE_AND_FILL__,12
__HAVE_BARRIER_MEMORY_SCOPE__,12
__HAVE_TESSELLATION__,10
__HAVE_RENDER_PIPELINE_STATE__,10
__HAVE_RENDER_COMMAND_RENDERING__,10
__HAVE_ATOMIC_ULONG_MIN_MAX__,8
__HAVE_RAYTRACING_PRIMITIVE_DATA__,8
__HAVE_RENDER_COMMAND_VERTEX_BUFFER_STRIDE__,8
__HAVE_COMPUTE_COMMAND_KERNEL_BUFFER_STRIDE__,8
__HAVE_RAYTRACING_INDIRECT_INSTANCE_BUILD__,8
__HAVE_ATOMIC_FENCE__,8
__HAVE_RENDER_COMMAND_DEPTH_STENCIL_STATE__,8
__HAVE_SIMD_TYPES_PREFIX__,7
__HAVE_METAL4_1__,7
__HAVE_SIMDGROUP_SHUFFLE_ROTATE_UP__,6
__HAVE_QUADGROUP_SHUFFLE_ROTATE_UP__,6
__HAVE_QUADGROUP_IS_FIRST__,6
__HAVE_SIMDGROUP_IS_FIRST__,6
__HAVE_SIMDGROUP_SHUFFLE_ROTATE_DOWN__,6
__HAVE_QUADGROUP_SHUFFLE_ROTATE_DOWN__,6
__HAVE_SIMDGROUP_BROADCAST_FIRST__,6
__HAVE_QUADGROUP_BROADCAST_FIRST__,6
__HAVE_COMPUTE_COMMANDS_SET_IMAGEBLOCK_SIZE__,6
__HAVE_MAKE_FILLED_MATRIX__,6
__HAVE_RENDER_COMMAND_DEPTH_BIAS__,6
__HAVE_VERTEX_VALUE__,6
__HAVE_EXECUTION_UNIT__,6
__HAVE_RENDER_COMMAND_DEPTH_CLIP_MODE__,6
__HAVE_OPERATOR_ADDRESSOF_DELETED__,5
__HAVE_DRAW_INDIRECT__,5
__HAVE_FUNCTION_CONSTANTS__,5
__HAVE_PACKED_NUMERIC__,5
__HAVE_PACKED_NUMERIC_TYPE__,5
__HAVE_RAYTRACING_INSTANCE_RANDOM_ACCESS__,4
__HAVE_OPERATOR_COMMA_DELETED__,3
__HAVE_NONE_COMPARE_FUNCTION__,3
__HAVE_ALWAYS_NEVER_COMPARE_FUNCTION__,3
__HAVE_ANISOTROPY_LOD_MIN_MAX__,3
__HAVE_BICUBIC_FILTERING__,3
__HAVE_COPY_ASSIGNABLE_TEXTURE__,3
__HAVE_MEMFLAG_OPERATORS__,3
__HAVE_COMPUTE_IMPROVED_INDIRECT__,3
__HAVE_UNIFORM__,3
__HAVE_MATRIX_MULTIPLE_SCALAR_CONSTRUCTORS__,3
__HAVE_PIXEL_DATA_TYPES__,3
__HAVE_ARRAYS_OF_SAMPLERS__,3
__HAVE_GET_SIZE_COMMAND_BUFFER__,3
__HAVE_BORDER_COLOR__,3
__HAVE_RAYTRACING_EXTENDED_LIMITS__,3
__HAVE_RAYTRACING_USER_INSTANCE_ID__,3
__HAVE_RAYTRACING_INTERSECTION_QUERY__,3
__HAVE_RAYTRACING_INSTANCE_TRANSFORMS__,3
__HAVE_ATOMIC_TEMPLATE__,3
__HAVE_ATOMIC_BOOL__,3
__HAVE_ATOMIC_ULONG__,3
__HAVE_MATRIX_THREADGROUP_DEFAULT_CONSTRUCTOR__,3
__HAVE_ATOMIC_FLOAT__,3
__HAVE_SAMPLER_REDUCTION__,3
__HAVE_NULLPTR_T__,3
__HAVE_MTL_RESOURCE_ID__,3
__HAVE_MEMORY_COHERENCE__,3
__HAVE_THREAD_SCOPE__,3
__HAVE_UTILITY_INDEX_SEQUENCE__,3
__HAVE_TYPE_TRAIT_IS_VOLATILE__,3
__HAVE_TYPE_TRAIT_IS_ARRAY__,3
__HAVE_TYPE_TRAIT_COMMON_TYPE__,3
__HAVE_RAYTRACING_INTERSECTION_FUNCTION_HANDLES__,3
__HAVE_TYPE_TRAIT_IS_CONSTRUCTIBLE__,3
__HAVE_TYPE_TRAIT_IS_ABSTRACT__,3
__HAVE_TYPE_TRAIT_REMOVE_EXTENT__,3
__HAVE_TYPE_TRAIT_ADD_POINTER__,3
__HAVE_INT4B_FORMAT_TYPE__,3
__HAVE_SAMPLER_LOD_BIAS__,3
__HAVE_TYPE_TRAIT_ADD_CONST__,3
__HAVE_ZERO_LOD_ARG__,3
__HAVE_GENERIC_ADDRESS_SPACE__,2
__HAVE_NATIVE_LONG_LONG__,2
__HAVE_VECTOR_CONVERSION_IN_ARRAY_INIT__,1
__HAVE_NO_ADDR_SPACE_REF__,1
__HAVE_RESTRICT__,1
__HAVE_COLOR_ARGUMENTS__,1
__HAVE_IGNORE_ATTRIBUTE_INCOMPATIBLE_TYPE__,1
__HAVE_RELAXED_ORDER_ATOMIC__,1
__HAVE_SIMDGROUP_BARRIER__,1
__HAVE_EARLY_FRAGMENT_TEST__,1
