value,count
__metal_get_read_sampler,858
__metal_select,470
__metal_clamp,249
__metal_fmax3,196
__metal_fmedian3,196
__metal_fmin3,196
__metal_fabs,192
__metal_fmax,192
__metal_fmin,191
__metal_trunc,191
__metal_absdiff,162
__metal_addsat,162
__metal_extract_bits,160
__metal_insert_bits,160
__metal_madhi,160
__metal_madsat,160
__metal_max3,160
__metal_median3,160
__metal_min3,160
__metal_mulhi,160
__metal_reverse_bits,160
__metal_subsat,160
__metal_abs,157
__metal_clz,157
__metal_ctz,155
__metal_hadd,155
__metal_max,155
__metal_min,155
__metal_popcount,155
__metal_rhadd,155
__metal_rotate,155
__metal_sample_compare_depth_2d_array_t,136
__metal_sample_compare_depth_2d_t,136
__metal_sample_compare_depth_cube_array_t,136
__metal_sample_compare_depth_cube_t,136
__metal_sample_depth_2d_array_t,136
__metal_sample_depth_2d_t,136
__metal_sample_depth_cube_array_t,136
__metal_sample_depth_cube_t,136
__metal_sample_texture_2d_t,132
__metal_sample_texture_2d_array_t,131
__metal_sample_texture_3d_t,131
__metal_sample_texture_cube_array_t,131
__metal_sample_texture_cube_t,131
__metal_nextafter,125
__metal_divide,108
__metal_saturate,108
__metal_frexp,106
__metal_ilogb,106
__metal_acos,103
__metal_acosh,103
__metal_asin,103
__metal_asinh,103
__metal_atan,103
__metal_atan2,101
__metal_atanh,101
__metal_ceil,101
__metal_cos,101
__metal_cosh,101
__metal_cospi,101
__metal_exp,101
__metal_exp10,101
__metal_exp2,101
__metal_floor,101
__metal_fma,101
__metal_fmod,101
__metal_fract,101
__metal_ldexp,101
__metal_log,101
__metal_log10,101
__metal_log2,101
__metal_pow,101
__metal_powr,101
__metal_rint,101
__metal_round,101
__metal_rsqrt,101
__metal_sin,101
__metal_sincos,101
__metal_sinh,101
__metal_sinpi,101
__metal_sqrt,101
__metal_tan,101
__metal_tanh,101
__metal_tanpi,101
__metal_read_depth_2d_t,71
__metal_mix,67
__metal_sign,67
__metal_sample_texture_cube_t_grad,65
__metal_read_depth_2d_array_t,64
__metal_read_depth_2d_ms_array_t,64
__metal_read_depth_2d_ms_t,64
__metal_read_depth_cube_array_t,64
__metal_read_depth_cube_t,64
__metal_sample_compare_depth_2d_array_t_grad,64
__metal_sample_compare_depth_2d_t_grad,64
__metal_sample_compare_depth_cube_array_t_grad,64
__metal_sample_compare_depth_cube_t_grad,64
__metal_sample_depth_2d_array_t_grad,64
__metal_sample_depth_2d_t_grad,64
__metal_sample_depth_cube_array_t_grad,64
__metal_sample_depth_cube_t_grad,64
__metal_sample_texture_2d_array_t_grad,64
__metal_sample_texture_2d_t_grad,64
__metal_sample_texture_3d_t_grad,64
__metal_sample_texture_cube_array_t_grad,64
__metal_get_null_intersection_function_table,61
__metal_read_texture_1d_array_t,59
__metal_read_texture_1d_t,59
__metal_read_texture_2d_array_t,59
__metal_read_texture_2d_ms_array_t,59
__metal_read_texture_2d_ms_t,59
__metal_read_texture_2d_t,59
__metal_read_texture_3d_t,59
__metal_read_texture_cube_array_t,59
