value,count
air.compile.denorms_disable,129322
air.compile.fast_math_enable,129322
air.compile.framebuffer_fetch_enable,117293
air.max_device_buffers,113575
air.max_constant_buffers,113575
air.max_threadgroup_buffers,113575
air.max_textures,113575
air.max_read_write_textures,113575
air.max_samplers,113575
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|float|air.arg_name|out,30000
air.sampler|air.location_index|air.arg_type_name|sampler|air.arg_name|s,15067
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|uint|air.arg_name|out,12816
air.compile.framebuffer_fetch_disable,12029
air.thread_position_in_grid|air.arg_type_name|uint|air.arg_name|id,10004
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|uint|air.arg_name|o,8606
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|float|air.arg_name|out,7608
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|int|air.arg_name|o,6480
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|float|air.arg_name|o,3924
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|int|air.arg_name|out,3714
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|uint|air.arg_name|out,3554
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|float4|air.arg_name|out,2804
"air.texture|air.location_index|air.sample|air.arg_type_name|texture2d<float, sample>|air.arg_name|tex",2772
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|uint|air.arg_name|o,2672
air.thread_index_in_threadgroup|air.arg_type_name|uint|air.arg_name|tid,2062
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|half|air.arg_name|out,1870
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|half|air.arg_name|o,1870
air.render_target|air.arg_type_name|float4,1780
"air.texture|air.location_index|air.sample|air.arg_type_name|texture2d<half, sample>|air.arg_name|tex",1712
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|int|air.arg_name|o,1704
air.position|air.arg_type_name|float4|air.arg_name|position,1543
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|bool|air.arg_name|o,1530
"air.texture|air.location_index|air.read|air.arg_type_name|texture3d<float, read>|air.arg_name|tex",1498
"air.texture|air.location_index|air.sample|air.arg_type_name|texture2d<int, sample>|air.arg_name|tex",1498
