function,signature
___metal_fract_v4float,"x float> (<4 x float>, i32)"
air.atomic.global.add.s.i32," (i32 addrspace(1)* nocapture, i32, i32, i32, i1)"
air.atomic.global.add.u.i32," (i32 addrspace(1)* nocapture, i32, i32, i32, i1)"
air.atomic.global.cmpxchg.weak.i32," (i32 addrspace(1)* nocapture, i32* nocapture, i32, i32, i32, i32, i1)"
air.atomic.global.load.i32," (i32 addrspace(1)* nocapture, i32, i32, i1)"
air.atomic.global.max.s.i32," (i32 addrspace(1)* nocapture, i32, i32, i32, i1)"
air.atomic.global.max.u.i32," (i32 addrspace(1)* nocapture, i32, i32, i32, i1)"
air.atomic.global.min.s.i32," (i32 addrspace(1)* nocapture, i32, i32, i32, i1)"
air.atomic.global.min.u.i32," (i32 addrspace(1)* nocapture, i32, i32, i32, i1)"
air.atomic.global.store.i32," (i32 addrspace(1)* nocapture, i32, i32, i32, i1)"
air.atomic.global.sub.u.i32," (i32 addrspace(1)* nocapture, i32, i32, i32, i1)"
air.atomic.global.xchg.i32," (i32 addrspace(1)* nocapture, i32, i32, i32, i1)"
air.convert.f.f32.s.i32, (i32)
air.convert.f.f32.u.i32, (i32)
air.convert.u.i1.f.f32, (float)
air.convert.u.i32.f.f32, (float)
air.dot.v4f32," (<4 x float>, <4 x float>)"
air.fast_acos.v4f32,x float> (<4 x float>)
air.fast_asin.v4f32,x float> (<4 x float>)
air.fast_atan.v4f32,x float> (<4 x float>)
air.fast_ceil.v4f32,x float> (<4 x float>)
air.fast_clamp.v4f32,"x float> (<4 x float>, <4 x float>, <4 x float>)"
air.fast_cos.v4f32,x float> (<4 x float>)
air.fast_cosh.v4f32,x float> (<4 x float>)
air.fast_exp.v4f32,x float> (<4 x float>)
air.fast_exp2.v4f32,x float> (<4 x float>)
air.fast_fabs.v4f32,x float> (<4 x float>)
air.fast_floor.v4f32,x float> (<4 x float>)
air.fast_fract.v4f32,x float> (<4 x float>)
air.fast_log.v4f32,x float> (<4 x float>)
air.fast_log2.v4f32,x float> (<4 x float>)
air.fast_rint.v4f32,x float> (<4 x float>)
air.fast_round.v4f32,x float> (<4 x float>)
air.fast_rsqrt.f32, (float)
air.fast_rsqrt.v4f32,x float> (<4 x float>)
air.fast_sin.v4f32,x float> (<4 x float>)
air.fast_sinh.v4f32,x float> (<4 x float>)
