value,count
air.convert.f.f32.u.i32,10097
air.convert.f.f32.s.i32,6300
air.get_read_sampler,5816
air.wg.barrier,3718
air.sample_texture_2d.v4f32,3133
air.read_texture_2d.v4f32,1998
llvm.lifetime.start.p0i8,1745
llvm.lifetime.end.p0i8,1745
llvm.dbg.value,1440
air.sample_texture_cube.v4f32,1402
air.sample_texture_3d.v4f32,1328
air.convert.u.i32.f.f32,1268
air.write_texture_2d.v4f32,1188
air.sample_texture_2d.v4f16,1070
air.convert.u.i1.f.f32,950
air.convert.f.f32.u.i16,858
air.convert.f.f32.s.i8,856
air.convert.f.f32.u.i8,856
air.convert.f.f32.s.i16,856
air.sample_texture_2d.s.v4i32,856
air.sample_texture_2d.u.v4i32,856
air.fast_rsqrt.f32,752
air.read_texture_2d.s.v4i32,642
air.read_texture_2d.u.v4i32,642
air.read_texture_3d.v4f32,642
air.sample_texture_3d.v4f16,642
air.sample_texture_3d.s.v4i32,642
air.sample_texture_3d.u.v4i32,642
air.sample_texture_cube.v4f16,642
air.sample_texture_cube.s.v4i32,642
air.sample_texture_cube.u.v4i32,642
air.atomic.global.store.i32,626
air.atomic.global.load.i32,626
air.atomic.global.add.u.i32,626
air.atomic.global.sub.u.i32,626
air.atomic.global.xchg.i32,626
air.atomic.global.cmpxchg.weak.i32,626
air.atomic.global.add.s.i32,626
air.atomic.global.min.s.i32,626
air.atomic.global.max.s.i32,626
air.atomic.global.min.u.i32,624
air.atomic.global.max.u.i32,624
air.gather_texture_2d.v4f32,554
air.sample_depth_2d.f32,546
air.read_texture_2d_ms.v4f32,546
air.fast_fabs.v4f32,504
air.fast_acos.v4f32,504
air.fast_asin.v4f32,504
air.fast_atan.v4f32,504
air.fast_ceil.v4f32,504
air.fast_cos.v4f32,504
air.fast_cosh.v4f32,504
air.fast_exp.v4f32,504
air.fast_exp2.v4f32,504
air.fast_floor.v4f32,504
air.fast_log.v4f32,504
air.fast_log2.v4f32,504
air.fast_rint.v4f32,504
air.fast_round.v4f32,504
air.fast_rsqrt.v4f32,504
air.fast_sin.v4f32,504
air.fast_sinh.v4f32,504
air.fast_sqrt.v4f32,504
air.fast_tan.v4f32,504
air.fast_tanh.v4f32,504
air.fast_trunc.v4f32,504
air.fast_clamp.v4f32,504
air.mix.v4f32,504
air.dot.v4f32,504
air.write_texture_3d.v4f32,428
air.gather_texture_2d.v4f16,428
air.read_texture_2d.v4f16,428
air.gather_texture_2d.s.v4i32,428
air.gather_texture_2d.u.v4i32,428
air.read_texture_1d.v4f32,428
air.read_texture_1d.v4f16,428
air.read_texture_1d.s.v4i32,428
air.read_texture_1d.u.v4i32,428
air.read_texture_3d.v4f16,428
air.read_texture_3d.s.v4i32,428
air.read_texture_3d.u.v4i32,428
___metal_fract_v4float,378
ld_visible_fn.MTL_VISIBLE_FN_REF,352
air.convert.f.f16.u.i32,350
air.convert.f.f32.u.i1,338
air.fast_fmax.f32,338
air.fast_fmin.f32,338
llvm.memcpy.p0i8.p0i8.i64,280
air.fast_sqrt.f32,248
llvm.ubsantrap,234
air.gather_depth_2d.v4f32,216
air.get_num_mip_levels_texture_3d,216
air.get_num_mip_levels_texture_cube,216
air.convert.s.i32.f.f32,215
air.convert.f.v4f16.f.v4f32,215
air.convert.f.v4f32.f.v4f16,215
air.get_width_texture_2d,215
air.get_width_texture_2d_array,215
air.get_width_texture_1d,215
air.get_width_texture_3d,215
air.get_width_texture_cube,215
air.convert.f.f16.u.i1,214
air.convert.f.f16.s.i8,214
air.convert.f.f16.u.i8,214
air.convert.f.f16.s.i16,214
air.convert.f.f16.u.i16,214
air.convert.f.f16.s.i32,214
air.convert.s.i8.f.f16,214
air.convert.u.i8.f.f16,214
air.convert.s.i16.f.f16,214
air.convert.u.i16.f.f16,214
air.convert.s.i32.f.f16,214
air.convert.u.i32.f.f16,214
air.convert.s.i8.f.f32,214
air.convert.u.i8.f.f32,214
air.convert.s.i16.f.f32,214
air.convert.u.i16.f.f32,214
air.convert.f.v2f16.f.v2f32,214
air.convert.f.v3f16.f.v3f32,214
air.convert.s.v2i32.f.v2f32,214
air.convert.s.v3i32.f.v3f32,214
air.convert.s.v4i32.f.v4f32,214
air.convert.u.v2i32.f.v2f32,214
air.convert.u.v3i32.f.v3f32,214
air.convert.u.v4i32.f.v4f32,214
air.convert.f.v2f32.f.v2f16,214
air.convert.f.v3f32.f.v3f16,214
air.convert.s.v2i32.f.v2f16,214
air.convert.s.v3i32.f.v3f16,214
air.convert.s.v4i32.f.v4f16,214
air.convert.u.v2i32.f.v2f16,214
air.convert.u.v3i32.f.v3f16,214
air.convert.u.v4i32.f.v4f16,214
air.convert.f.v2f32.s.v2i32,214
air.convert.f.v3f32.s.v3i32,214
air.convert.f.v4f32.s.v4i32,214
air.convert.f.v2f16.s.v2i32,214
air.convert.f.v3f16.s.v3i32,214
air.convert.f.v4f16.s.v4i32,214
air.convert.f.v2f32.u.v2i32,214
air.convert.f.v3f32.u.v3i32,214
air.convert.f.v4f32.u.v4i32,214
air.convert.f.v2f16.u.v2i32,214
air.convert.f.v3f16.u.v3i32,214
air.convert.f.v4f16.u.v4i32,214
air.sample_texture_2d_grad.v4f32,214
air.sample_texture_2d_grad.v4f16,214
air.write_texture_2d.v4f16,214
air.sample_texture_2d_grad.s.v4i32,214
air.write_texture_2d.s.v4i32,214
air.sample_texture_2d_grad.u.v4i32,214
air.write_texture_2d.u.v4i32,214
air.read_texture_2d_array.v4f32,214
air.read_texture_2d_array.v4f16,214
air.read_texture_2d_array.s.v4i32,214
air.read_texture_2d_array.u.v4i32,214
air.sample_texture_1d.v4f32,214
air.write_texture_1d.v4f32,214
air.sample_texture_1d.v4f16,214
air.write_texture_1d.v4f16,214
air.sample_texture_1d.s.v4i32,214
air.write_texture_1d.s.v4i32,214
air.sample_texture_1d.u.v4i32,214
air.write_texture_1d.u.v4i32,214
air.write_texture_3d.v4f16,214
air.write_texture_3d.s.v4i32,214
air.write_texture_3d.u.v4i32,214
air.get_height_texture_2d,214
air.get_num_mip_levels_texture_2d,214
air.get_height_texture_2d_array,214
air.get_array_size_texture_2d_array,214
air.get_num_mip_levels_texture_2d_array,214
air.get_num_mip_levels_texture_1d,214
air.get_height_texture_3d,214
air.get_depth_texture_3d,214
air.get_height_texture_cube,214
air.atomic.local.store.i32,214
air.atomic.local.add.u.i32,214
air.atomic.local.load.i32,214
llvm.memcpy.p0i8.p0i8.i32,184
llvm.dbg.declare,182
air.read_texture_cube.v4f32,166
air.read_texture_cube.v4f16,164
air.read_texture_cube.s.v4i32,164
air.read_texture_cube.u.v4i32,164
llvm.sadd.with.overflow.i32,156
air.fast_fract.v4f32,126
air.fast_saturate.f32,125
air.fabs.f16,124
air.sqrt.f16,124
air.rsqrt.f16,124
air.fast_pow.f32,124
air.fast_clamp.f32,124
air.mix.f32,124
air.fma.f32,124
