value,count
k,47636
__cxx_global_var_init,3060
__cxx_global_var_init.1,3060
v,856
probe_min,672
headers_only,672
atomics_all,624
address_spaces_extended_all,624
_Z24ld_helper_visible_unusedj,590
linkage_dump_a,590
linkage_dump_b,590
io_dump_vertex,546
io_dump_frag_any,546
io_dump_frag_greater,546
io_dump_frag_less,546
io_dump_eft,546
operators_swizzles_all,546
sampler_states_all,546
texture_depth_cube_ms,546
texture_read,546
texture_sample,546
texture_write,546
builtins_all,504
textures_all,472
address_spaces_all,468
types_all,468
_Z1fi,428
codegen_struct_array_pointer_all,406
codegen_threadgroup_barrier_all,406
raytracing_all,360
ld_visible_fn,352
linkage_dump_fp,352
metal3_template_constexpr_all,264
_GLOBAL__sub_I_metal4_all.metal,216
builtin_raytracing_all,214
builtin_tex_03_texture2d_sample_float,214
builtin_tex_04_texture2d_read_float,214
builtin_tex_05_texture2d_write_float,214
builtin_tex_06_texture2d_sample_half,214
builtin_tex_07_texture2d_read_int,214
builtin_tex_08_texture2d_read_uint,214
builtin_tex_13_texture3d_sample_float,214
builtin_tex_14_texture3d_read_float,214
builtin_tex_15_texture3d_write_float,214
builtin_tex_16_texturecube_sample_float,214
conv_000_bool_to_char,214
conv_001_bool_to_uchar,214
conv_002_bool_to_short,214
conv_003_bool_to_ushort,214
conv_004_bool_to_int,214
conv_005_bool_to_uint,214
conv_006_bool_to_half,214
conv_007_bool_to_float,214
conv_008_char_to_bool,214
conv_009_char_to_uchar,214
conv_010_char_to_short,214
conv_011_char_to_ushort,214
conv_012_char_to_int,214
conv_013_char_to_uint,214
conv_014_char_to_half,214
conv_015_char_to_float,214
conv_016_uchar_to_bool,214
conv_017_uchar_to_char,214
conv_018_uchar_to_short,214
conv_019_uchar_to_ushort,214
conv_020_uchar_to_int,214
conv_021_uchar_to_uint,214
conv_022_uchar_to_half,214
conv_023_uchar_to_float,214
conv_024_short_to_bool,214
conv_025_short_to_char,214
conv_026_short_to_uchar,214
conv_027_short_to_ushort,214
conv_028_short_to_int,214
conv_029_short_to_uint,214
conv_030_short_to_half,214
conv_031_short_to_float,214
conv_032_ushort_to_bool,214
conv_033_ushort_to_char,214
conv_034_ushort_to_uchar,214
conv_035_ushort_to_short,214
conv_036_ushort_to_int,214
conv_037_ushort_to_uint,214
conv_038_ushort_to_half,214
conv_039_ushort_to_float,214
conv_040_int_to_bool,214
conv_041_int_to_char,214
conv_042_int_to_uchar,214
conv_043_int_to_short,214
conv_044_int_to_ushort,214
conv_045_int_to_uint,214
conv_046_int_to_half,214
conv_047_int_to_float,214
conv_048_uint_to_bool,214
conv_049_uint_to_char,214
conv_050_uint_to_uchar,214
