value,count
nounwind,295374
willreturn,281337
mustprogress,210542
nofree,193094
argmemonly,176701
"""no-builtins""",142979
"""approx-func-fp-math""",141092
"""frame-pointer""",141092
"""no-infs-fp-math""",141092
"""no-nans-fp-math""",141092
"""no-signed-zeros-fp-math""",141092
"""no-trapping-math""",141092
"""stack-protector-buffer-size""",141092
"""unsafe-fp-math""",141092
"""min-legal-vector-width""",141089
nosync,132735
norecurse,74552
readnone,70820
readonly,68436
writeonly,61441
convergent,58756
inaccessiblememonly,11634
optsize,3851
nocallback,3604
noinline,3234
minsize,1916
nobuiltin,1887
speculatable,1857
optnone,1694
alwaysinline,1388
noreturn,682
cold,234
inlinehint,222
memory,4
none,2
argmem,2
readwrite,2
"""deferred-static-alloca-size""",1
