value,count
@llvm.global_ctors,11747
@_ZL7fc_bool,3120
@_Z7fc_bool.MTL_FC_INIT_0_b,3120
@_ZL6fc_int,3120
@_Z6fc_int.MTL_FC_INIT_1_i,3120
@_ZZ1kPU9MTLdevicejjE6shared,642
@__air_sampler_state,548
@_ZZ1kPU9MTLdevicejjE7aligned,214
@_ZZ1kPU9MTLdevicejjE7counter,214
@_ZZ1kPU9MTLdevicejRU11MTLconstantKjjE6shared,214
@_ZZ1kPU9MTLdevicejjE1a,214
@_ZZ1kPU9MTLdevicejjE1b,214
@_ZZ1kPU9MTLdevicejjE1c,214
@_ZZ1kPU9MTLdevicejjE4data.0,214
@_ZL10use_path_a,176
@_Z10use_path_a.MTL_FC_INIT_0_b,176
@_ZL18use_half_precision,176
@_Z18use_half_precision.MTL_FC_INIT_0_b,176
@_ZL5scale,176
@_Z5scale.MTL_FC_INIT_3_f,176
@_ZL5width,176
@_Z5width.MTL_FC_INIT_0_i,176
@_ZL6height,176
@_Z6height.MTL_FC_INIT_1_i,176
@_ZL9threshold,176
@_Z9threshold.MTL_FC_INIT_1_i,176
@_ZL14enable_feature,176
@_Z14enable_feature.MTL_FC_INIT_0_b,176
@_ZL15iteration_count,176
@_Z15iteration_count.MTL_FC_INIT_1_i,176
@_ZL5alpha,176
@_Z5alpha.MTL_FC_INIT_2_f,176
@_ZL11max_threads,176
@_Z11max_threads.MTL_FC_INIT_3_j,176
@_ZL11buffer_size,176
@_Z11buffer_size.MTL_FC_INIT_2_j,176
@_ZL9tile_size,176
@_Z9tile_size.MTL_FC_INIT_0_i,176
@_ZL3fc0,176
@_Z3fc0.MTL_FC_INIT_0_b,176
@_ZL4fc15,176
@_Z4fc15.MTL_FC_INIT_15_i,176
@_ZL4fc31,176
@_Z4fc31.MTL_FC_INIT_31_j,176
@_ZZ1kPU9MTLdevicejjE4data,136
@llvm.used,3
@_ZL9thread_id,2
@air.dyld_flat_table,2
@_ZN5metal25__maybe_static_array_implINS_17integral_constantIbLb0EEEiJLm4ELm8EEE,1
@_Z6__fc25.MTL_FC_INIT_0_b,1
@__tracepoint_library_version,1
