value,count
store,417618
ret,381246
load,126881
tail,92557
getelementptr,70685
call,62757
alloca,46118
fadd,27783
extractelement,27666
extractvalue,26123
shufflevector,25330
zext,19327
insertelement,13867
add,13602
bitcast,12387
insertvalue,11234
br,7242
fmul,7054
fpext,6614
trunc,6314
icmp,5413
shl,2498
mul,2170
phi,1671
sext,1519
or,1483
and,1206
fcmp,1090
select,931
fsub,837
xor,746
lshr,722
urem,547
fptrunc,514
unreachable,448
sub,428
fdiv,158
fneg,156
i32,6
switch,1
