value,count
air64_v28-apple-ios26.0.0,14046
air32_v28-apple-watchos26.0.0,14046
air64_v28-apple-watchos26.0.0,14046
air32_v28-apple-tvos26.0.0,12986
air64_v28-apple-tvos26.0.0,12986
air64_v28-apple-macosx26.0.0,6573
air32_v28-apple-macosx26.0.0,6520
air64_v24-apple-ios15.8.0,1432
air32_v24-apple-tvos15.8.0,1432
air64_v24-apple-tvos15.8.0,1432
air64_v23-apple-ios14.8.0,1400
air64_v25-apple-ios16.7.0,1400
air64_v26-apple-ios17.7.0,1400
air32_v23-apple-tvos14.8.0,1400
air32_v25-apple-tvos16.7.0,1400
air32_v26-apple-tvos17.7.0,1400
air64_v23-apple-tvos14.8.0,1400
air64_v25-apple-tvos16.7.0,1400
air64_v26-apple-tvos17.7.0,1400
air64_v27-apple-ios18.7.0,1368
air32_v27-apple-tvos18.7.0,1368
air64_v27-apple-tvos18.7.0,1368
air64_v22-apple-ios13.7.0,1124
air32_v22-apple-tvos13.7.0,1124
air64_v22-apple-tvos13.7.0,1124
air64_v21-apple-ios12.5.0,1112
air32_v21-apple-tvos12.5.0,1112
air64_v21-apple-tvos12.5.0,1112
air32_v111-apple-ios10.3.0,1084
air64_v111-apple-ios10.3.0,1084
air64_v20-apple-ios11.4.0,1084
air32_v20-apple-tvos11.4.0,1084
air64_v20-apple-tvos11.4.0,1084
air32_v26-apple-watchos10.3.0,1084
air32_v27-apple-watchos11.4.0,1084
air64_v26-apple-watchos10.3.0,1084
air64_v27-apple-watchos11.4.0,1084
air32_v24-apple-macosx12.7.0,717
air64_v24-apple-macosx12.7.0,717
air32_v23-apple-macosx11.7.0,716
air64_v23-apple-macosx11.7.0,716
air32_v22-apple-macosx10.15.0,703
air64_v22-apple-macosx10.15.0,703
air32_v25-apple-macosx13.7.0,700
air32_v26-apple-macosx14.7.0,700
air64_v25-apple-macosx13.7.0,700
air64_v26-apple-macosx14.7.0,700
air32_v27-apple-macosx15.7.0,684
air64_v27-apple-macosx15.7.0,684
air32_v21-apple-macosx10.14.0,560
air64_v21-apple-macosx10.14.0,560
air32_v20-apple-macosx10.13.0,546
air64_v20-apple-macosx10.13.0,546
air64_v23-apple-macosx11.0.0,1
air64_v25-apple-macosx13.0.0,1
air64-apple-macosx10.14.0,1
