value,count
%struct._sampler_t = type opaque,21514
%struct._texture_2d_t = type opaque,14482
%struct._texture_3d_t = type opaque,7113
%struct._texture_cube_t = type opaque,5106
%struct._texture_1d_t = type opaque,4331
%struct._texture_2d_array_t = type opaque,2191
"%""struct.metal::texture2d"" = type { %struct._texture_2d_t addrspace(1)* }",1260
%struct._depth_2d_t = type opaque,1241
%struct._texture_2d_ms_t = type opaque,1020
"%""struct.metal::_atomic"" = type { i32 }",840
"%""struct.metal::sampler"" = type { %struct._sampler_t addrspace(2)* }",812
"%""struct.metal::_atomic.0"" = type { i32 }",624
%struct.AddressBox = type { i32 },624
"%struct.Uniforms = type <{ %""struct.metal::matrix"", <4 x float>, i32, i32, [8 x i8] }>",546
"%""struct.metal::matrix"" = type { [4 x <4 x float>] }",546
%struct._texture_cube_array_t = type opaque,480
%struct._texture_1d_array_t = type opaque,479
%struct._texture_buffer_1d_t = type opaque,479
%struct._depth_2d_array_t = type opaque,479
%struct._depth_cube_t = type opaque,479
%struct._depth_cube_array_t = type opaque,479
"%""struct.metal::_texture2d_sample"" = type { i8 }",464
"%struct.NestedLayout = type { <3 x float>, [3 x float], i32, [2 x <4 x float>] }",392
"%""struct.metal::texturecube"" = type { %struct._texture_cube_t addrspace(1)* }",386
"%""struct.metal::depth2d"" = type { %struct._depth_2d_t addrspace(1)* }",386
"%""struct.metal::texture2d_ms"" = type { %struct._texture_2d_ms_t addrspace(1)* }",386
"%struct.Vec = type { float, float }",214
%struct.AlignedTG = type { [16 x <4 x float>] },214
"%""struct.metal::texture3d"" = type { %struct._texture_3d_t addrspace(1)* }",168
"%""struct.metal::_integer_sequence"" = type { i8 }",156
"%""struct.metal::_integer_sequence.0"" = type { i8 }",156
"%""struct.metal::_integer_sequence.1"" = type { i8 }",156
"%""struct.metal::_integer_sequence.2"" = type { i8 }",156
"%struct.Args = type { float addrspace(1)*, i32 }",156
"%struct.SharedArgs = type { float addrspace(1)*, %""struct.metal::texture2d"", %""struct.metal::sampler"", <4 x float> addrspace(2)* }",156
"%struct.IoVertexOut = type { <4 x float>, <4 x float>, <4 x float>, <4 x float>, <4 x float>, <4 x float>, <4 x float>, <4 x float>, i32, float, [8 x i8] }",156
"%struct.VertexIn = type { <4 x float>, <3 x float>, <2 x float>, <4 x half> }",156
"%struct.IoFragOutA = type { <4 x float>, <4 x float>, <4 x float>, <4 x float>, float, [12 x i8] }",156
"%struct.IoFragOutG = type { <4 x float>, float, [12 x i8] }",156
"%struct.IoFragOutL = type { <4 x float>, float, [12 x i8] }",156
%struct.OpBox = type { <4 x float> },156
"%""struct.metal::_texture2d_ms_read"" = type { i8 }",156
"%""struct.metal::_depth2d_sample"" = type { i8 }",156
"%""struct.metal::_texturecube_sample"" = type { i8 }",156
"%""struct.metal::_texture2d_read"" = type { i8 }",156
"%""struct.metal::_texture2d_write"" = type { i8 }",156
"%""struct.metal::_texture3d_sample"" = type { i8 }",152
"%""struct.metal::texture1d"" = type { %struct._texture_1d_t addrspace(1)* }",152
"%""struct.metal::texture1d_array"" = type { %struct._texture_1d_array_t addrspace(1)* }",152
"%""struct.metal::texture2d_array"" = type { %struct._texture_2d_array_t addrspace(1)* }",152
"%""struct.metal::texturecube_array"" = type { %struct._texture_cube_array_t addrspace(1)* }",152
"%""struct.metal::texture_buffer"" = type { %struct._texture_buffer_1d_t addrspace(1)* }",152
"%""struct.metal::depth2d_array"" = type { %struct._depth_2d_array_t addrspace(1)* }",152
"%""struct.metal::depthcube"" = type { %struct._depth_cube_t addrspace(1)* }",152
"%""struct.metal::depthcube_array"" = type { %struct._depth_cube_array_t addrspace(1)* }",152
"%struct.Ph = type { [2 x half], [3 x half], [4 x half] }",136
"%struct.Pi = type { [2 x i32], [3 x i32], [4 x i32] }",136
"%struct.Ps = type { [2 x float], [3 x float], [4 x float] }",136
"%struct.PackedTG = type { [32 x [3 x float]], [32 x [4 x half]] }",136
"%""struct.metal::raytracing::ray"" = type <{ <3 x float>, <3 x float>, float, float, [8 x i8] }>",120
"%""struct.metal::raytracing::intersector"" = type { %""struct.metal::raytracing::_intersector_impl"" }",120
"%""struct.metal::raytracing::_intersector_impl"" = type { %""struct.metal::raytracing::_intersector_base_ift"" }",120
"%""struct.metal::raytracing::_intersector_base_ift"" = type { %""struct.metal::raytracing::_intersector_base"" }",120
"%""struct.metal::raytracing::_intersector_base"" = type { %""struct.metal::raytracing::_intersection_params"" }",120
%struct._intersection_function_table_t = type opaque,107
%struct._instance_acceleration_structure_t = type opaque,105
"%""struct.metal::texture1d.12"" = type { %struct._texture_1d_t addrspace(1)* }",104
"%""struct.metal::texture2d.18"" = type { %struct._texture_2d_t addrspace(1)* }",96
%struct.FixedArray = type { [4 x i32] },88
"%""struct.metal::_texture2d_read.22"" = type { i8 }",80
"%""struct.metal::texture2d_array.25"" = type { %struct._texture_2d_array_t addrspace(1)* }",80
"%""struct.metal::texture3d.32"" = type { %struct._texture_3d_t addrspace(1)* }",80
"%""struct.metal::texture1d.38"" = type { %struct._texture_1d_t addrspace(1)* }",80
