spelling,ast_class,subjects,args,min_std,evidence
kernel,MetalKernelAttr,Function,,,attr-class-topology(26370 on functions); AST dump
vertex,MetalVertexAttr,Function,,,attr-class-topology(234 on functions); AST dump
fragment,MetalFragmentAttr,Function,,,attr-class-topology(300 on functions); AST dump
mesh,MetalMeshAttr,Function,,metal3.0,attr-class-topology(24 on functions); diag 'mesh attribute requires ... metal3.0'
object,MetalObjectAttr,Function,,metal3.0,attr-class-topology(16 on functions); diag 'object attribute requires ... metal3.0'
visible,MetalVisibleAttr,Function,,macos-metal2.3,attr-class-topology(32 on functions); diag
stitchable,MetalStitchableAttr,Function,,macos-metal2.3,diag 'stitchable attribute requires ... macos-metal2.3'
intersection,MetalIntersectionAttr,Function,StringArgList,macos-metal2.3,attr-class-topology(6 on functions); spec args 'triangle, triangle_data, instancing'
early_fragment_tests,MetalEarlyFragmentTestsAttr,Function,,macos-metal1.2,attr-class-topology(22 on functions); diag; golden P02 emits the 'early_fragment_tests' md operand
host_name,MetalHostNameAttr,Function,String,macos-metal2.2,attr-class-topology(7 on functions); diag; spec args '"abc"'
max_total_threads_per_threadgroup,MetalMaxTotalThreadsPerThreadgroupAttr,Function,Int,macos-metal2.1,diag; spec args 'x'
max_total_threadgroups_per_mesh_grid,MetalMaxTotalThreadgroupsPerMeshGridAttr,Function,Int,metal3.0,spec args 'size'
required_threads_per_threadgroup,MetalRequiredThreadsPerThreadgroupAttr,Function,Int3,,spec attribute list
patch,MetalPatchAttr,Function,PatchTypeAndCount,,spec args 'quad, 16'
buffer,MetalBufferIndexAttr,"ParmVar,Field",Int,,attr-parameter-mapping: 1717 buffer params; golden P01 !air.buffer
texture,MetalTextureIndexAttr,"ParmVar,Field",Int,,attr-parameter-mapping: 266 texture params; golden P01 !air.texture
sampler,MetalSamplerIndexAttr,"ParmVar,Field",Int,,attr-parameter-mapping: 137 sampler params; golden P01 !air.sampler
threadgroup,MetalLocalIndexAttr,"ParmVar,Field",Int,,attr-parameter-mapping maps [[threadgroup(N)]] to MetalLocalIndexAttr
stage_in,MetalStageInAttr,ParmVar,,,attr-parameter-mapping: 12 stage_in params
attribute,MetalAttributeIndexAttr,"ParmVar,Field",Int,,attr-parameter-mapping; golden P02 !air.vertex_input location_index
function_constant,MetalFunctionConstantAttr,"Var,Field",IdentifierOrInt,macos-metal1.2,attr-class-topology(1212); diag
